Loai phong,Ngay dang,Gia phong,Dien tich,Suc chua,Dien,Nuoc,May lanh,WC rieng,Cho de xe,Wifi,Tu do,Khong chung chu,Tu lanh,May giat,Bao ve,Giuong ngu,Nau an,Tivi,Thu cung,Tu quan ao,Cua so,May nuoc nong,Gac lung,Quan,Nam,Nu
Phòng cho thuê,2022-05-05,4500000.0,30.0,4.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Căn hộ,2022-04-18,12000000.0,55.0,3.0,3171.6048239853935,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Căn hộ,2022-04-18,9000000.0,42.0,2.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Căn hộ,2022-04-18,9000000.0,45.0,2.0,4000.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Phòng cho thuê,2022-04-10,4200000.0,28.0,3.0,3171.6048239853935,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng ở ghép,2022-04-05,4300000.0,35.0,3.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng ở ghép,2022-04-05,2600000.0,20.0,3.0,3000.0,60000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2022-03-19,0.0,35.0,3.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-05-17,4000000.0,28.0,2.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Căn hộ,2022-03-12,5000000.0,40.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Căn hộ,2022-02-25,10000000.0,45.0,4.0,2500.0,36000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2022-02-22,1500000.0,180.0,6.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,0,1
Căn hộ,2022-02-22,6000000.0,40.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2022-02-22,1500000.0,127.0,6.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2022-02-22,1500000.0,40.0,4.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Ký túc xá,2022-02-22,1500000.0,180.0,6.0,3171.6048239853935,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,0,1
Căn hộ,2022-02-22,8000000.0,70.0,7.0,3000.0,6000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2022-03-16,5500000.0,25.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-03-12,5000000.0,40.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Phòng cho thuê,2022-01-16,2000000.0,20.0,2.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tây Hồ,1,1
Nhà nguyên căn,2022-01-06,2499000.0,45.0,5.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Gia Lâm,1,1
Phòng cho thuê,2021-12-09,3000000.0,30.0,6.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-12-09,3400000.0,30.0,5.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-12-08,2500000.0,18.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,0,1
Phòng cho thuê,2021-12-07,1350000.0,18.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,0,1
Phòng cho thuê,2021-12-07,3000000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-12-07,1800000.0,13.0,2.0,4000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-02-15,1500000.0,15.0,2.0,4000.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-12-07,3400000.0,20.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Ký túc xá,2021-12-05,1350000.0,25.0,4.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hai Bà Trưng,1,1
Căn hộ,2021-12-05,2000000.0,15.0,2.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Nhà nguyên căn,2021-12-05,5500000.0,20.0,6.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-12-04,2500000.0,35.0,2.0,35000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-12-03,2000000.0,14.0,2.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-29,3000000.0,20.0,3.0,2500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-26,6500000.0,30.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Phòng cho thuê,2021-11-26,2000000.0,19.0,2.0,3500.0,70000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-12-07,3500000.0,28.0,3.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-12-07,3400000.0,20.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-12-05,1350000.0,25.0,4.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hai Bà Trưng,1,1
Phòng cho thuê,2021-11-24,3000000.0,25.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Phòng cho thuê,2021-11-23,1500000.0,25.0,4.0,3500.0,70000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Căn hộ,2021-11-23,6500000.0,61.0,5.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-23,2500000.0,18.0,4.0,4000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-23,2500000.0,25.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-11-23,2500000.0,25.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-11-22,2000000.0,20.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Thanh Trì,1,1
Phòng cho thuê,2021-11-26,3200000.0,33.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-11-22,3000000.0,30.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-11-22,1800000.0,18.0,2.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-11-22,2300000.0,25.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-11-22,3000000.0,20.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-11-20,1800000.0,20.0,3.0,4500.0,70000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hai Bà Trưng,1,1
Phòng cho thuê,2021-11-20,2400000.0,25.0,5.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-11-18,2500000.0,25.0,3.0,3800.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Phòng cho thuê,2021-11-18,3000000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-22,2500000.0,20.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Thanh Trì,1,1
Phòng cho thuê,2021-11-15,2600000.0,25.0,4.0,38000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-15,3500000.0,25.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-13,3000000.0,28.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-11-13,1500000.0,15.0,3.0,3000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Căn hộ,2021-11-11,5000000.0,35.0,5.0,330000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-11-08,2800000.0,25.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Thanh Trì,1,1
Phòng cho thuê,2021-11-07,3000000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-06,3400000.0,23.0,3.0,3800.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Căn hộ,2021-11-06,4200000.0,35.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-17,3000000.0,20.0,2.0,3500.0,40000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-11-06,3200000.0,20.0,3.0,3400.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Phòng cho thuê,2021-11-06,4000000.0,25.0,4.0,3400.0,132000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Căn hộ,2021-11-04,3500000.0,35.0,4.0,2500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-11-04,2400000.0,20.0,2.0,3800.0,90000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-04,3200000.0,25.0,2.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-11-03,6000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Căn hộ,2021-11-03,6000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Nhà nguyên căn,2021-11-02,3700000.0,25.0,4.0,3171.6048239853935,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-01,2600000.0,22.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-11-06,3200000.0,20.0,4.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2021-10-29,2500000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-28,3500000.0,35.0,4.0,2500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-10-28,3200000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2021-10-28,1500000.0,50.0,6.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Phòng ở ghép,2021-10-24,1250000.0,18.0,1.0,4000.0,60000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Ký túc xá,2021-10-23,1300000.0,60.0,8.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Ký túc xá,2021-10-23,1400000.0,25.0,4.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Ký túc xá,2021-10-23,1300000.0,30.0,4.0,0.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Ký túc xá,2021-10-23,1100000.0,30.0,4.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Ký túc xá,2021-10-29,1800000.0,15.0,3.0,3000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2021-10-23,1100000.0,30.0,4.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-22,3600000.0,26.0,2.0,3800.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Ký túc xá,2021-10-21,1400000.0,40.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Căn hộ,2021-10-20,2500000.0,25.0,3.0,4000.0,54000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-10-20,3200000.0,30.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-10-19,4200000.0,35.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-18,4000000.0,35.0,4.0,3000.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2021-10-18,2500000.0,25.0,2.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng ở ghép,2021-10-17,1300000.0,30.0,3.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-10-23,1100000.0,30.0,4.0,3000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-16,3200000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Ký túc xá,2021-10-15,1500000.0,20.0,4.0,3000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Căn hộ,2021-10-14,7000000.0,55.0,3.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Căn hộ,2021-10-13,6500000.0,32.0,3.0,2000.0,36000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-10-13,3500000.0,40.0,5.0,2200.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-13,1900000.0,24.0,4.0,2500.0,96000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Hoài Đức,1,1
Phòng cho thuê,2021-10-13,4500000.0,50.0,3.0,20000.0,21000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-10-13,4000000.0,45.0,5.0,3000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2021-10-13,2500000.0,18.0,2.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Ký túc xá,2021-10-13,1800000.0,12.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-12,3200000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-10-09,3000000.0,35.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Căn hộ,2021-10-05,6000000.0,45.0,4.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-05,10000000.0,75.0,6.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2021-10-03,1900000.0,25.0,3.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Hoài Đức,1,1
Phòng cho thuê,2021-10-03,2500000.0,30.0,4.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Hoài Đức,1,1
Phòng cho thuê,2021-10-13,1800000.0,12.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Ký túc xá,2021-10-12,3200000.0,25.0,3.0,3500.0,28000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-09-18,3000000.0,30.0,5.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-09-03,2600000.0,25.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2021-09-03,3000000.0,30.0,5.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-09-03,3000000.0,30.0,5.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2021-09-03,2200000.0,14.0,1.0,2800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tây Hồ,1,1
